Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Bahamas,2021-01-18,-0.10604267088726042,2021-07-20,S.Q677,2021-09-18,183,True,0.053849743720938946,-0.11649994579240112,-0.13389743627025763,-0.2721128837927327
Lebanon,2021-01-20,-0.10591677217414498,2021-07-09,S.Q677,2021-09-20,170,True,-0.3430679443535307,-0.11550871105991235,-0.1330193708158824,-0.2313542455108743
Turkey,2021-01-20,-0.09984845420198088,2021-11-17,S.Q677,2021-09-20,301,False,-0.7316764962384456,-0.10501594980827565,-0.1274609164128632,0.21174699318349588
Afghanistan,2021-01-21,-0.10601749114463734,2021-01-21,S.Q677,2021-09-21,0,True,1.660078562727384,-0.11579082417373089,-0.13169552522413572,0.21174699318349588
Ireland,2021-01-22,-0.09909306192328825,2021-11-08,S.Q677,2021-09-22,290,False,-0.5335761222701579,-0.11582180453907324,-0.13345768459293267,-0.25290672878352005
South Sudan,2021-01-23,-0.10506066092496001,2021-05-26,S.Q677,2021-09-23,123,True,-0.5922778552749752,-0.11547372801936805,-0.1332587007556811,-0.27141531388343454
Togo,2021-01-25,-0.10420454967577503,2021-07-31,S.Q677,2021-09-25,187,True,-0.6715305802974005,-0.11570374172993791,-0.133489131553757,-0.271493711370041
Malawi,2021-01-26,-0.1060930303725066,2021-09-16,S.Q677,2021-09-26,233,True,1.1991795012023028,-0.1165541479223526,-0.13388509220574923,-0.2694100913194912
Cameroon,2021-01-27,-0.10506066092496001,2021-09-25,S.Q677,2021-09-27,241,True,-0.23059015291105256,-0.11338852919130742,-0.1306921075700895,-0.2666613443634985
Gambia,2021-01-27,-0.10166139567084319,2021-08-23,S.Q677,2021-09-27,208,True,0.8567202652580872,-0.1156486578798909,-0.1320384417915222,-0.27242789800775935
Benin,2021-01-30,-0.10433044838889047,2021-07-18,S.Q677,2021-09-30,169,True,-0.44000376100184435,-0.1161124889100539,-0.13363159324477514,-0.27232537726904776
Cabo Verde,2021-01-31,-0.10614338985775278,2021-01-31,S.Q677,2021-10-01,0,True,-0.6782648035659958,-0.11635182750357956,-0.13389639575431206,-0.27232537726904776
Thailand,2021-01-31,-0.10574051397578338,2021-11-08,S.Q677,2021-10-01,281,False,-0.6472759647887456,-0.11529162513796572,-0.1332006382923494,-0.09052639589169463
Liechtenstein,2021-02-07,-0.10606785062988351,2021-11-06,S.Q677,2021-10-08,272,False,-0.2066938190870897,-0.1166038136328108,-0.1340402315840906,-0.27280010732102405
Côte d'Ivoire,2021-02-08,-0.10503548118233692,2021-05-11,S.Q677,2021-10-09,92,True,-0.9018213489877889,-0.11353720447015535,-0.13280556255040518,-0.2677178977660648
Tunisia,2021-02-09,-0.1060930303725066,2021-03-05,S.Q677,2021-10-10,24,True,1.0368770000396845,-0.11297981327162931,-0.12590178917064093,-0.25512032776633126
Central African Republic,2021-02-12,-0.10611821011512969,2021-03-09,S.Q677,2021-10-13,25,True,-0.4701253097672848,-0.11659383932290598,-0.13403892539976697,-0.2728717294889938
Honduras,2021-02-17,-0.10606785062988351,2021-04-22,S.Q677,2021-10-18,64,True,0.3640804764355826,-0.1126038719552966,-0.1276162462367351,-0.2575640111253638
Libya,2021-02-18,-0.1058915924315219,2021-06-07,S.Q677,2021-10-19,109,True,-0.17914868358999406,-0.08872298705880867,-0.10364884966829799,-0.2588870166968662
Paraguay,2021-02-20,-0.10594195191676807,2021-08-14,S.Q677,2021-10-21,175,True,0.9937735481727978,-0.1123944837071606,-0.1247647412411762,-0.22341582763934803
Morocco,2021-03-02,-0.10599231140201425,2021-08-25,S.Q677,2021-10-31,176,True,-0.33043314268980223,-0.11165424802813531,-0.12935447186527535,-0.24219938714808295
Sri Lanka,2021-03-02,-0.10591677217414498,2021-09-05,S.Q677,2021-10-31,187,True,0.17593679467037213,-0.11595266966459256,-0.13310250475703694,-0.22499543258751986
Sudan,2021-03-04,-0.10558943552004485,2021-03-28,S.Q677,2021-11-02,24,True,3.1175388405602473,-0.11397821001461393,-0.12292912040464468,-0.2719021383716794
Estonia,2021-03-04,-0.10445634710200591,2021-11-02,S.Q677,2021-11-02,243,False,-0.7923042820032147,-0.11618013892791813,-0.13383858637242632,-0.26532932421625205
Gabon,2021-03-08,-0.10546353680692941,2021-09-30,S.Q677,2021-11-06,206,True,-0.9096546053109658,-0.11555283631518667,-0.13363690131580228,-0.27179051103543905
Liberia,2021-03-10,-0.10601749114463734,2021-05-29,S.Q677,2021-11-08,80,True,1.3865035983722043,-0.11659064736126375,-0.13396513927090647,-0.2728568765180412
Slovakia,2021-03-13,-0.10533763809381397,2021-11-07,S.Q677,2021-11-11,239,True,-0.3712335232568182,-0.11599325574118059,-0.13348957806861922,-0.25834761667317196
Mali,2021-03-20,-0.10531245835119088,2021-08-30,S.Q677,2021-11-18,163,True,1.1639537375883657,-0.1143421062486476,-0.12867464071756426,-0.27230055811334203
Belarus,2021-03-22,-0.10611821011512969,2021-03-25,S.Q677,2021-11-20,3,True,-0.8549095235026027,-0.09747001025743017,-0.12539451075595728,-0.24344182487308746
Papua New Guinea,2021-03-24,-0.10606785062988351,2021-09-20,S.Q677,2021-11-22,180,True,-0.5642889397059472,-0.1166015971648303,-0.13404789062053196,-0.2712595774236339
Djibouti,2021-03-26,-0.10591677217414498,2021-05-20,S.Q677,2021-11-24,55,True,-0.4223846229344574,-0.1165475693927542,-0.13399741731054357,-0.27110081213082293
Niger,2021-04-01,-0.10601749114463734,2021-04-01,S.Q677,2021-11-30,0,True,1.2331435943661089,-0.11605637155984835,-0.1326770546377112,-0.27110081213082293
Malta,2021-04-01,-0.10584123294627572,2021-06-21,S.Q677,2021-11-30,81,True,-0.38822975623503125,-0.11627225759330306,-0.1337489099644205,-0.2725165769781429
Ecuador,2021-04-10,-0.10563979500529103,2021-09-27,S.Q677,2021-12-09,170,True,3.103688490180171,-0.11555902024106461,-0.1295809647541335,-0.2498681965291461
Bahrain,2021-04-10,-0.10596713165939116,2021-10-27,S.Q677,2021-12-09,200,True,-0.9878165001995153,-0.11632671168931166,-0.13396975916389472,-0.2596184836403926
Latvia,2021-04-13,-0.10551389629217559,2021-07-01,S.Q677,2021-12-12,79,True,-0.07122459193563278,-0.1164734358010688,-0.13388133553160372,-0.2635688812720683
Croatia,2021-04-21,-0.10480886349872913,2021-11-13,S.Q677,2021-12-20,206,True,-0.06577869342062016,-0.11598229432025531,-0.1332926600446804,-0.2577474675815471
Belize,2021-04-29,-0.10614338985775278,2021-04-29,S.Q677,2021-12-28,0,True,0.42624227105217455,-0.11661361750615253,-0.1340401075792467,-0.2577474675815471
Georgia,2021-05-01,-0.10579087346102956,2021-11-02,S.Q677,2021-12-30,185,True,-0.3735160081293997,-0.10996490410987272,-0.12802492841815777,-0.21681931739382201
Moldova,2021-05-04,-0.10614338985775278,2021-05-04,S.Q677,2022-01-02,0,True,0.2741240323414095,-0.11546564833366692,-0.13230061751246552,-0.21681931739382201
Dominican Republic,2021-05-10,-0.10606785062988351,2021-10-16,S.Q677,2022-01-08,159,True,-0.5732478094677138,-0.11585539530894325,-0.13351210053399307,-0.25954342869590696
Congo (Kinshasa),2021-05-12,-0.10599231140201425,2021-06-21,S.Q677,2022-01-10,40,True,0.26316710207578303,-0.11588016248244298,-0.13293739847473376,-0.26828258848675435
Haiti,2021-05-20,-0.10614338985775278,2021-05-20,S.Q677,2022-01-18,0,True,0.06460444086845946,-0.11659271624585771,-0.1340185512959903,-0.26828258848675435
Kuwait,2021-05-30,-0.10596713165939116,2021-06-15,S.Q677,2022-01-28,16,True,-0.9535529992232378,-0.11386289941489042,-0.13307366681872201,-0.23741562850191125
Botswana,2021-06-13,-0.10601749114463734,2021-09-27,S.Q677,2022-02-11,106,True,-0.4182911523632398,-0.11638502763632871,-0.1338565777794737,-0.241605130838576
Fiji,2021-06-17,-0.10611821011512969,2021-06-18,S.Q677,2022-02-15,1,True,-1.0839275987126147,-0.1166291912927246,-0.13406898051826394,-0.2700916456494876
Eswatini,2021-06-29,-0.10614338985775278,2021-06-29,S.Q677,2022-02-27,0,True,1.1147874060160319,-0.1165878021901683,-0.13396898364938067,-0.2700916456494876
Algeria,2021-07-08,-0.1060930303725066,2021-07-14,S.Q677,2022-03-08,6,True,0.4639992757069663,-0.11393273351347638,-0.1294912227075035,-0.2520886131548425
Trinidad and Tobago,2021-07-28,-0.10614338985775278,2021-07-28,S.Q677,2022-03-28,0,True,0.5805329732658162,-0.11661838323382742,-0.1340461434513642,-0.2520886131548425
Kosovo,2021-07-28,-0.1060930303725066,2021-09-07,S.Q677,2022-03-28,41,True,-0.1294430434759976,-0.11644864215155043,-0.13386181517041004,-0.24158642692426344
Montenegro,2021-08-02,-0.10611821011512969,2021-08-30,S.Q677,2022-04-02,28,True,-0.30174000029981896,-0.11637967691516081,-0.13382429469349655,-0.26164601981552454
Suriname,2021-08-05,-0.10611821011512969,2021-09-29,S.Q677,2022-04-05,55,True,0.1283904332300382,-0.11660600349940273,-0.1340345672774602,-0.2657359860011492
Ethiopia,2021-08-06,-0.10614338985775278,2021-08-06,S.Q677,2022-04-06,0,True,-0.25954575690654946,-0.11641588202721233,-0.13385100130899036,-0.2657359860011492
Nepal,2021-08-09,-0.10614338985775278,2021-08-09,S.Q677,2022-04-09,0,True,-0.3628641514085662,-0.11558590581870055,-0.1331110980145115,-0.2657359860011492
Vietnam,2021-09-02,-0.1060930303725066,2021-09-02,S.Q677,2022-05-03,0,True,0.3846164530144578,-0.11633687777287624,-0.13359201645487856,-0.2657359860011492
Cambodia,2021-10-01,-0.10596713165939116,2021-10-07,S.Q677,2022-06-01,6,True,0.13958687835432412,-0.11650928146733347,-0.13389979766146454,-0.26769019569335184
Canada,2020-03-10,-0.1048844027265984,2021-07-03,20A.S.210T,2020-11-08,480,False,-0.04042425029231388,-0.11449038928823611,-0.13145575472152432,0.9951047562133639
Madagascar,2020-07-13,-0.10614338985775278,2020-07-13,20A.S.210T,2021-03-13,0,True,-0.8327471300094578,-0.11662757023215625,-0.13406771279128743,0.9951047562133639
Burkina Faso,2020-12-16,-0.10614338985775278,2020-12-16,20A.S.210T,2021-08-16,0,True,-0.20355495469886542,-0.11661733347031274,-0.13405457593070053,0.9951047562133639
Switzerland,2021-01-16,-0.10380167379380563,2021-07-19,20A.S.210T,2021-09-16,184,True,-0.2875399102749978,-0.11640458967985136,-0.13384553387074452,-0.24187868384408456
Rwanda,2021-01-20,-0.10614338985775278,2021-01-20,20A.S.210T,2021-09-20,0,True,-0.44542569982538105,-0.11662420698933161,-0.1340635283259951,-0.24187868384408456
Belgium,2021-01-23,-0.10281966383150522,2021-07-09,20A.S.210T,2021-09-23,167,True,0.2536866644389526,-0.11608434174947388,-0.13325001801334538,-0.205406194443021
