Country,first_seq,num_seqs,last_seq,variant,censure_date,duration,censored,mortality_rate,total_cases,total_deaths,growth_rate
Afghanistan,2021-01-21,6,2021-01-21,S.Q677,2021-09-21,0,True,0.04,864,38,19864.19
Ireland,2021-01-22,281,2021-11-08,S.Q677,2021-09-22,290,False,0.01,832,10,819.36
South Sudan,2021-01-23,44,2021-05-26,S.Q677,2021-09-23,123,True,0.01,1190,13,60.75
Togo,2021-01-25,78,2021-07-31,S.Q677,2021-09-25,187,True,0.01,954,10,57.53
Malawi,2021-01-26,3,2021-09-16,S.Q677,2021-09-26,233,True,0.04,80,3,142.93
Cameroon,2021-01-27,44,2021-09-25,S.Q677,2021-09-27,241,True,0.02,3332,54,255.6
Gambia,2021-01-27,179,2021-08-23,S.Q677,2021-09-27,208,True,0.03,1010,33,19.24
Benin,2021-01-30,73,2021-07-18,S.Q677,2021-09-30,169,True,0.01,534,7,23.45
Cabo Verde,2021-01-31,1,2021-01-31,S.Q677,2021-10-01,0,True,0.01,288,3,23.45
Thailand,2021-01-31,17,2021-11-08,S.Q677,2021-10-01,281,False,0.01,1377,14,7474.87
Liechtenstein,2021-02-07,4,2021-11-06,S.Q677,2021-10-08,272,False,0.02,29,1,3.99
Côte d'Ivoire,2021-02-08,45,2021-05-11,S.Q677,2021-10-09,92,True,0.01,3179,20,212.29
Tunisia,2021-02-09,3,2021-03-05,S.Q677,2021-10-10,24,True,0.03,3752,130,728.63
Central African Republic,2021-02-12,2,2021-03-09,S.Q677,2021-10-13,25,True,0.01,39,1,1.05
Honduras,2021-02-17,4,2021-04-22,S.Q677,2021-10-18,64,True,0.02,4138,102,628.47
Libya,2021-02-18,11,2021-06-07,S.Q677,2021-10-19,109,True,0.02,28675,481,574.25
Paraguay,2021-02-20,9,2021-08-14,S.Q677,2021-10-21,175,True,0.03,4354,148,2028.11
Morocco,2021-03-02,7,2021-08-25,S.Q677,2021-10-31,176,True,0.01,5114,75,1258.22
Sri Lanka,2021-03-02,10,2021-09-05,S.Q677,2021-10-31,187,True,0.02,698,16,1963.36
Sudan,2021-03-04,23,2021-03-28,S.Q677,2021-11-02,24,True,0.06,2726,177,40.79
Estonia,2021-03-04,68,2021-11-02,S.Q677,2021-11-02,243,False,0.01,464,4,310.19
Gabon,2021-03-08,28,2021-09-30,S.Q677,2021-11-06,206,True,0.01,1109,7,45.37
Liberia,2021-03-10,6,2021-05-29,S.Q677,2021-11-08,80,True,0.04,42,2,1.66
Slovakia,2021-03-13,33,2021-11-07,S.Q677,2021-11-11,239,True,0.01,656,10,596.35
Mali,2021-03-20,34,2021-08-30,S.Q677,2021-11-18,163,True,0.04,2353,86,24.46
Belarus,2021-03-22,2,2021-03-25,S.Q677,2021-11-20,3,True,0.01,19688,138,1207.3
Papua New Guinea,2021-03-24,4,2021-09-20,S.Q677,2021-11-22,180,True,0.01,31,1,67.13
Djibouti,2021-03-26,10,2021-05-20,S.Q677,2021-11-24,55,True,0.01,87,2,73.64
Niger,2021-04-01,6,2021-04-01,S.Q677,2021-11-30,0,True,0.04,591,22,73.64
Malta,2021-04-01,13,2021-06-21,S.Q677,2021-11-30,81,True,0.01,369,6,15.61
Ecuador,2021-04-10,21,2021-09-27,S.Q677,2021-12-09,170,True,0.06,1102,71,943.9
Bahrain,2021-04-10,8,2021-10-27,S.Q677,2021-12-09,200,True,0.01,313,2,544.26
Latvia,2021-04-13,26,2021-07-01,S.Q677,2021-12-12,79,True,0.02,163,3,382.35
Croatia,2021-04-21,54,2021-11-13,S.Q677,2021-12-20,206,True,0.02,667,13,620.95
Belize,2021-04-29,1,2021-04-29,S.Q677,2021-12-28,0,True,0.03,19,1,620.95
Georgia,2021-05-01,15,2021-11-02,S.Q677,2021-12-30,185,True,0.01,6850,96,2298.48
Moldova,2021-05-04,1,2021-05-04,S.Q677,2022-01-02,0,True,0.02,1198,28,2298.48
Dominican Republic,2021-05-10,4,2021-10-16,S.Q677,2022-01-08,159,True,0.01,798,9,547.34
Congo (Kinshasa),2021-05-12,7,2021-06-21,S.Q677,2022-01-10,40,True,0.02,772,18,189.15
Haiti,2021-05-20,1,2021-05-20,S.Q677,2022-01-18,0,True,0.02,40,1,189.15
Kuwait,2021-05-30,8,2021-06-15,S.Q677,2022-01-28,16,True,0.01,2845,16,1454.3
Botswana,2021-06-13,6,2021-09-27,S.Q677,2022-02-11,106,True,0.01,254,4,1282.58
Fiji,2021-06-17,2,2021-06-18,S.Q677,2022-02-15,1,True,0.0,3,1,115.0
Eswatini,2021-06-29,1,2021-06-29,S.Q677,2022-02-27,0,True,0.04,45,2,115.0
Algeria,2021-07-08,3,2021-07-14,S.Q677,2022-03-08,6,True,0.03,2773,73,852.89
Trinidad and Tobago,2021-07-28,1,2021-07-28,S.Q677,2022-03-28,0,True,0.03,14,1,852.89
Kosovo,2021-07-28,3,2021-09-07,S.Q677,2022-03-28,41,True,0.02,188,4,1283.35
Montenegro,2021-08-02,2,2021-08-30,S.Q677,2022-04-02,28,True,0.01,259,4,461.16
Suriname,2021-08-05,2,2021-09-29,S.Q677,2022-04-05,55,True,0.02,26,1,293.53
Ethiopia,2021-08-06,1,2021-08-06,S.Q677,2022-04-06,0,True,0.02,222,4,293.53
Nepal,2021-08-09,1,2021-08-09,S.Q677,2022-04-09,0,True,0.01,1075,16,293.53
Vietnam,2021-09-02,3,2021-09-02,S.Q677,2022-05-03,0,True,0.02,303,8,293.53
Cambodia,2021-10-01,8,2021-10-07,S.Q677,2022-06-01,6,True,0.02,126,3,213.43
Canada,2020-03-10,51,2021-07-03,20A.S.210T,2020-11-08,480,False,0.02,2200,42,51971.79
Madagascar,2020-07-13,1,2020-07-13,20A.S.210T,2021-03-13,0,True,0.01,4,1,51971.79
Burkina Faso,2020-12-16,1,2020-12-16,20A.S.210T,2021-08-16,0,True,0.02,15,1,51971.79
Switzerland,2021-01-16,94,2021-07-19,20A.S.210T,2021-09-16,184,True,0.02,233,4,1271.37
Rwanda,2021-01-20,1,2021-01-20,20A.S.210T,2021-09-20,0,True,0.01,8,1,1271.37
Belgium,2021-01-23,133,2021-07-09,20A.S.210T,2021-09-23,167,True,0.02,562,13,2766.27
Cameroon,2021-01-28,26,2021-03-03,20A.S.210T,2021-09-28,34,True,0.02,824,13,201.55
France,2021-02-03,168,2021-07-13,20A.S.210T,2021-10-04,160,True,0.02,26097,488,214843.89
Germany,2021-02-11,273,2021-08-04,20A.S.210T,2021-10-12,174,True,0.02,998,25,9739.8
USA,2021-02-12,30,2021-09-15,20A.S.210T,2021-10-13,215,True,0.02,259,5,50291.47
South Korea,2021-02-18,1486,2021-08-26,20A.S.210T,2021-10-19,189,True,0.01,8580,80,754.28
